Dataset,Model,MAE_3,RMSE_3,MAPE_3,MAE_6,RMSE_6,MAPE_6,MAE_12,RMSE_12,MAPE_12,MAE_all,RMSE_all,MAPE_all
PEMS03,MLP,16.1267,24.8450,0.1581,19.4633,30.1648,0.1881,26.6152,40.6763,0.2620,20.0423,31.4582,0.1961
PEMS03,LSTM,16.0570,26.2803,0.1519,19.2709,31.5788,0.1814,26.1745,41.7176,0.2538,19.8302,32.7567,0.1888
PEMS03,GRU,16.0563,26.8764,0.1521,19.2407,31.6154,0.1812,26.0949,41.2600,0.2527,19.7957,32.7538,0.1884
PEMS03,WaveNet,16.1936,27.2540,0.1540,19.4446,32.1835,0.1869,26.4715,42.0303,0.2621,20.0064,33.1769,0.1936
PEMS03,Transformer,15.1773,27.0303,0.1423,17.1270,29.8129,0.1584,20.6948,34.7629,0.1896,17.2455,30.0797,0.1599
PEMS03,Transformer,14.7610,25.5313,0.1402,16.4784,28.0835,0.1547,19.4529,32.3457,0.1804,16.5918,28.3027,0.1561
PEMS03,GCLSTM,15.2594,24.7163,0.1481,17.0395,27.6804,0.1631,20.7223,33.1141,0.1967,17.2373,28.0473,0.1658
PEMS03,GCGRU,15.2872,25.0886,0.1478,17.1186,28.0416,0.1641,21.0845,33.6924,0.2051,17.3664,28.4401,0.1676
PEMS03,STGCN,15.0433,25.7253,0.1476,16.1110,27.7702,0.1536,18.1788,31.0469,0.1707,16.1974,27.8592,0.1553
PEMS03,DCRNN,14.3688,25.0792,0.1475,15.6376,27.8683,0.1537,17.7360,30.7502,0.1733,15.6427,27.6103,0.1549
PEMS03,AGCRN,14.8262,25.9961,0.1415,15.9865,27.9788,0.1511,17.7383,30.4799,0.1772,16.0054,27.9263,0.1537
PEMS03,GWNET,13.4939,22.9162,0.1391,14.6670,25.1492,0.1496,16.3968,27.8904,0.1604,14.6535,25.0686,0.1475
PEMS03,MTGNN,13.6410,23.7311,0.1388,14.8321,26.2463,0.1480,16.6130,28.7030,0.1571,14.7825,25.8726,0.1466
PEMS03,StemGNN,14.6464,24.9032,0.1547,16.4276,27.6607,0.1684,19.2925,31.5899,0.1903,16.4439,27.6718,0.1683
PEMS03,STNorm,14.3384,25.1541,0.1360,15.4319,27.2564,0.1427,16.8540,29.4278,0.1535,15.3230,26.9342,0.1425
PEMS03,GTS,14.0100,23.9753,0.1428,15.4297,26.2273,0.1562,17.5416,29.2405,0.1786,15.3947,26.1740,0.1563
PEMS03,STID,13.8731,23.4980,0.1516,15.2966,27.3760,0.1653,17.4322,31.7500,0.1866,15.2961,27.2666,0.1647
PEMS03,STWA,14.2482,24.8088,0.1413,15.3934,26.9035,0.1496,16.7249,28.8844,0.1609,15.2819,26.6182,0.1517
PEMS03,MegaCRN,13.4049,23.9129,0.1435,14.6531,26.0838,0.1470,16.5140,28.7141,0.1617,14.5676,25.8679,0.1475
PEMS03,STAEformer,14.1146,25.7248,0.1450,15.4680,28.4250,0.1558,17.6047,31.7221,0.1764,15.4893,28.3014,0.1568
PEMS04,HistoricalInertia,42.3344,61.6473,0.2990,42.3555,61.6613,0.2992,42.3778,61.6742,0.2996,42.3534,61.6593,0.2992
PEMS04,MLP,21.4086,33.3284,0.1439,25.2723,38.7097,0.1718,33.8265,50.1012,0.2390,26.0316,40.1504,0.1788
PEMS04,LSTM,21.1798,33.1140,0.1409,24.8971,38.3329,0.1675,33.1725,49.5188,0.2308,25.6343,39.7572,0.1739
PEMS04,GRU,21.1258,33.0785,0.1402,24.8245,38.2930,0.1666,33.0211,49.4318,0.2291,25.5525,39.7098,0.1729
PEMS04,WaveNet,21.3512,33.2560,0.1411,25.2151,38.6027,0.1687,33.6899,49.9321,0.2327,25.9567,40.0275,0.1751
PEMS04,Transformer,20.5097,32.3550,0.1340,23.0894,36.1690,0.1519,28.4359,43.8043,0.1882,23.4577,36.9209,0.1546
PEMS04,Transformer,19.8160,31.5087,0.1293,22.0666,34.9001,0.1441,26.5992,41.4965,0.1759,22.3643,35.5039,0.1467
