Dataset,Model,Step,MAE,RMSE,MAPE
PEMS08,StemGNN,6,16.8373,26.3818,0.1113
PEMS08,StemGNN,12,19.7552,30.7237,0.1305
PEMS08,StemGNN,0,16.9719,26.6187,0.1129

PEMS08,STNorm,3,14.3341,22.8758,0.0917
PEMS08,STNorm,6,15.3863,25.0990,0.0977
PEMS08,STNorm,12,16.7195,27.3093,0.1064
PEMS08,STNorm,0,15.2947,24.8758,0.0975

PEMS08,GTS,3,15.3177,23.9470,0.0982
PEMS08,GTS,6,16.9479,26.7285,0.1098
PEMS08,GTS,12,19.8314,30.9074,0.1305
PEMS08,GTS,0,17.0271,26.8439,0.1108

PEMS08,STID,3,13.3121,21.5024,0.0875
PEMS08,STID,6,14.1778,23.3257,0.0936
PEMS08,STID,12,15.6575,25.7321,0.1062
PEMS08,STID,0,14.2044,23.2991,0.0933

PEMS08,STWA,3,15.0817,23.4721,0.1101
PEMS08,STWA,6,16.0165,25.1566,0.1121
PEMS08,STWA,12,17.6048,27.7725,0.1143
PEMS08,STWA,0,16.0262,25.2510,0.1085

PEMS08,MegaCRN,3,13.7117,21.8117,0.0889
PEMS08,MegaCRN,6,14.8227,23.9199,0.0961
PEMS08,MegaCRN,12,16.6468,26.8669,0.1087
PEMS08,MegaCRN,0,14.8256,23.9207,0.0964

PEMS08,STAEformer,3,12.6604,21.6173,0.0831
PEMS08,STAEformer,6,13.5387,23.4658,0.0889
PEMS08,STAEformer,12,14.9247,25.8801,0.0983
PEMS08,STAEformer,0,13.5483,23.4250,0.0890

